id_code,experiment,plate,well,sirna
HUVEC-15_3_I10,HUVEC-15,3,I10,sirna_892
RPE-01_1_G12,RPE-01,1,G12,sirna_264
HUVEC-02_2_M04,HUVEC-02,2,M04,sirna_357
RPE-02_2_O22,RPE-02,2,O22,sirna_450
HEPG2-05_1_F08,HEPG2-05,1,F08,sirna_0
HEPG2-05_1_J17,HEPG2-05,1,J17,sirna_663
HEPG2-01_4_L15,HEPG2-01,4,L15,sirna_1024
HEPG2-04_4_D20,HEPG2-04,4,D20,sirna_950
HUVEC-14_1_H06,HUVEC-14,1,H06,sirna_392
HEPG2-05_2_D15,HEPG2-05,2,D15,sirna_173
RPE-03_3_M16,RPE-03,3,M16,sirna_904
RPE-03_4_M04,RPE-03,4,M04,sirna_624
HEPG2-04_1_N11,HEPG2-04,1,N11,sirna_996
HUVEC-03_3_I23,HUVEC-03,3,I23,sirna_588
HUVEC-05_3_M23,HUVEC-05,3,M23,sirna_331
HEPG2-05_3_B20,HEPG2-05,3,B20,sirna_607
HUVEC-11_4_N02,HUVEC-11,4,N02,sirna_552
HUVEC-05_1_I10,HUVEC-05,1,I10,sirna_924
HUVEC-08_2_D19,HUVEC-08,2,D19,sirna_124
HUVEC-11_3_C09,HUVEC-11,3,C09,sirna_843
HUVEC-05_1_I11,HUVEC-05,1,I11,sirna_757
U2OS-02_1_L19,U2OS-02,1,L19,sirna_186
HUVEC-02_4_N18,HUVEC-02,4,N18,sirna_477
RPE-03_1_H20,RPE-03,1,H20,sirna_1008
HEPG2-05_2_C16,HEPG2-05,2,C16,sirna_989
HUVEC-01_3_I14,HUVEC-01,3,I14,sirna_458
HUVEC-11_1_I23,HUVEC-11,1,I23,sirna_2
RPE-02_2_G05,RPE-02,2,G05,sirna_972
U2OS-02_4_B23,U2OS-02,4,B23,sirna_352
HUVEC-09_4_C04,HUVEC-09,4,C04,sirna_1078
HEPG2-02_1_B18,HEPG2-02,1,B18,sirna_744
HEPG2-04_1_I06,HEPG2-04,1,I06,sirna_788
HUVEC-02_2_D15,HUVEC-02,2,D15,sirna_124
HUVEC-13_4_I08,HUVEC-13,4,I08,sirna_778
U2OS-01_2_B12,U2OS-01,2,B12,sirna_1018
HUVEC-16_4_D22,HUVEC-16,4,D22,sirna_891
HUVEC-16_2_D12,HUVEC-16,2,D12,sirna_666
RPE-05_3_K14,RPE-05,3,K14,sirna_699
HUVEC-03_1_C13,HUVEC-03,1,C13,sirna_788
HEPG2-07_2_F18,HEPG2-07,2,F18,sirna_400
HUVEC-05_3_F13,HUVEC-05,3,F13,sirna_987
U2OS-03_1_D08,U2OS-03,1,D08,sirna_344
RPE-07_4_C23,RPE-07,4,C23,sirna_500
HEPG2-01_3_B22,HEPG2-01,3,B22,sirna_105
HEPG2-07_1_F04,HEPG2-07,1,F04,sirna_908
HUVEC-13_3_N05,HUVEC-13,3,N05,sirna_777
HUVEC-01_3_O21,HUVEC-01,3,O21,sirna_663
HUVEC-12_1_M21,HUVEC-12,1,M21,sirna_1121
HUVEC-05_1_K14,HUVEC-05,1,K14,sirna_234
HUVEC-14_3_L13,HUVEC-14,3,L13,sirna_309
HUVEC-01_1_O08,HUVEC-01,1,O08,sirna_86
U2OS-02_3_G16,U2OS-02,3,G16,sirna_21
HEPG2-01_4_E18,HEPG2-01,4,E18,sirna_1074
HUVEC-02_3_J23,HUVEC-02,3,J23,sirna_1068
HUVEC-12_1_G08,HUVEC-12,1,G08,sirna_1112
HUVEC-07_3_K16,HUVEC-07,3,K16,sirna_403
HUVEC-13_3_H08,HUVEC-13,3,H08,sirna_312
RPE-01_1_I04,RPE-01,1,I04,sirna_1013
HUVEC-13_4_D03,HUVEC-13,4,D03,sirna_912
HEPG2-04_4_O09,HEPG2-04,4,O09,sirna_121
U2OS-02_1_H16,U2OS-02,1,H16,sirna_309
RPE-02_3_K06,RPE-02,3,K06,sirna_699
HUVEC-10_1_N12,HUVEC-10,1,N12,sirna_484
HUVEC-12_2_D04,HUVEC-12,2,D04,sirna_643
HUVEC-12_1_O03,HUVEC-12,1,O03,sirna_615
HUVEC-01_1_N16,HUVEC-01,1,N16,sirna_90
HEPG2-04_1_B05,HEPG2-04,1,B05,sirna_751
HUVEC-05_4_J21,HUVEC-05,4,J21,sirna_856
HUVEC-06_2_C08,HUVEC-06,2,C08,sirna_48
HUVEC-15_2_K14,HUVEC-15,2,K14,sirna_890
HEPG2-04_4_E15,HEPG2-04,4,E15,sirna_764
HUVEC-11_1_O08,HUVEC-11,1,O08,sirna_1106
U2OS-01_2_H16,U2OS-01,2,H16,sirna_463
HUVEC-02_3_E04,HUVEC-02,3,E04,sirna_1029
U2OS-03_1_E13,U2OS-03,1,E13,sirna_448
HUVEC-16_3_O11,HUVEC-16,3,O11,sirna_414
HEPG2-05_4_J10,HEPG2-05,4,J10,sirna_124
U2OS-03_2_D02,U2OS-03,2,D02,sirna_72
HUVEC-05_2_O20,HUVEC-05,2,O20,sirna_1039
RPE-02_1_B21,RPE-02,1,B21,sirna_1081
RPE-06_3_I20,RPE-06,3,I20,sirna_498
HUVEC-13_4_J17,HUVEC-13,4,J17,sirna_1101
HEPG2-05_1_I23,HEPG2-05,1,I23,sirna_497
U2OS-03_2_G07,U2OS-03,2,G07,sirna_70
HUVEC-02_1_M10,HUVEC-02,1,M10,sirna_851
RPE-06_1_I02,RPE-06,1,I02,sirna_663
RPE-06_3_L22,RPE-06,3,L22,sirna_292
HUVEC-02_3_I19,HUVEC-02,3,I19,sirna_182
HUVEC-09_1_N16,HUVEC-09,1,N16,sirna_1020
HUVEC-08_3_N13,HUVEC-08,3,N13,sirna_452
HUVEC-05_3_N11,HUVEC-05,3,N11,sirna_646
HUVEC-02_2_D11,HUVEC-02,2,D11,sirna_860
U2OS-01_2_E22,U2OS-01,2,E22,sirna_1063
RPE-04_4_H04,RPE-04,4,H04,sirna_677
HUVEC-13_4_H23,HUVEC-13,4,H23,sirna_68
HUVEC-08_3_B08,HUVEC-08,3,B08,sirna_656
HUVEC-11_3_G09,HUVEC-11,3,G09,sirna_548
RPE-06_3_B07,RPE-06,3,B07,sirna_908
RPE-01_4_N09,RPE-01,4,N09,sirna_431
HUVEC-07_2_I17,HUVEC-07,2,I17,sirna_178
HUVEC-07_1_H14,HUVEC-07,1,H14,sirna_874
RPE-02_2_L11,RPE-02,2,L11,sirna_973
HEPG2-06_1_N04,HEPG2-06,1,N04,sirna_1111
HUVEC-16_1_D21,HUVEC-16,1,D21,sirna_664
HUVEC-14_4_G23,HUVEC-14,4,G23,sirna_196
HUVEC-04_2_I04,HUVEC-04,2,I04,sirna_746
U2OS-03_3_B22,U2OS-03,3,B22,sirna_267
HUVEC-05_3_O16,HUVEC-05,3,O16,sirna_461
HUVEC-12_1_M10,HUVEC-12,1,M10,sirna_625
RPE-07_1_K04,RPE-07,1,K04,sirna_264
HEPG2-03_4_H16,HEPG2-03,4,H16,sirna_398
HUVEC-09_1_N14,HUVEC-09,1,N14,sirna_579
HUVEC-13_2_D17,HUVEC-13,2,D17,sirna_793
HEPG2-04_2_J23,HEPG2-04,2,J23,sirna_187
HUVEC-06_4_K15,HUVEC-06,4,K15,sirna_141
HEPG2-07_4_B15,HEPG2-07,4,B15,sirna_687
HUVEC-16_4_I05,HUVEC-16,4,I05,sirna_807
HEPG2-06_2_M18,HEPG2-06,2,M18,sirna_230
RPE-03_1_I05,RPE-03,1,I05,sirna_195
HEPG2-06_2_J14,HEPG2-06,2,J14,sirna_970
HUVEC-08_1_E16,HUVEC-08,1,E16,sirna_63
HEPG2-05_2_B04,HEPG2-05,2,B04,sirna_901
HEPG2-05_3_H10,HEPG2-05,3,H10,sirna_1127
RPE-01_3_E08,RPE-01,3,E08,sirna_383
RPE-07_1_C09,RPE-07,1,C09,sirna_134
U2OS-03_2_I23,U2OS-03,2,I23,sirna_619
HUVEC-09_4_G05,HUVEC-09,4,G05,sirna_859
HUVEC-11_1_L02,HUVEC-11,1,L02,sirna_274
HUVEC-10_3_H12,HUVEC-10,3,H12,sirna_687
HUVEC-12_4_H23,HUVEC-12,4,H23,sirna_541
RPE-06_3_K05,RPE-06,3,K05,sirna_465
U2OS-03_3_G15,U2OS-03,3,G15,sirna_877
HUVEC-08_4_K08,HUVEC-08,4,K08,sirna_1007
HUVEC-06_3_O21,HUVEC-06,3,O21,sirna_699
HUVEC-01_2_D10,HUVEC-01,2,D10,sirna_721
HUVEC-09_4_F21,HUVEC-09,4,F21,sirna_1137
HEPG2-03_2_B22,HEPG2-03,2,B22,sirna_866
RPE-05_2_E23,RPE-05,2,E23,sirna_406
RPE-05_1_F23,RPE-05,1,F23,sirna_1102
HEPG2-05_4_N06,HEPG2-05,4,N06,sirna_605
HEPG2-01_1_K11,HEPG2-01,1,K11,sirna_880
HUVEC-06_2_K07,HUVEC-06,2,K07,sirna_400
RPE-01_2_B09,RPE-01,2,B09,sirna_1043
HUVEC-04_2_I13,HUVEC-04,2,I13,sirna_992
U2OS-01_2_N09,U2OS-01,2,N09,sirna_114
HEPG2-02_1_O13,HEPG2-02,1,O13,sirna_99
HUVEC-02_2_N16,HUVEC-02,2,N16,sirna_1083
HUVEC-13_1_K05,HUVEC-13,1,K05,sirna_586
HEPG2-01_2_B15,HEPG2-01,2,B15,sirna_56
HUVEC-02_1_M17,HUVEC-02,1,M17,sirna_930
HEPG2-04_1_J23,HEPG2-04,1,J23,sirna_202
U2OS-03_4_M18,U2OS-03,4,M18,sirna_549
HEPG2-01_4_B05,HEPG2-01,4,B05,sirna_1007
HUVEC-03_2_C18,HUVEC-03,2,C18,sirna_435
HEPG2-04_2_N20,HEPG2-04,2,N20,sirna_276
U2OS-02_3_K17,U2OS-02,3,K17,sirna_140
HEPG2-04_3_I03,HEPG2-04,3,I03,sirna_270
HUVEC-07_4_G13,HUVEC-07,4,G13,sirna_435
RPE-02_3_D06,RPE-02,3,D06,sirna_683
HUVEC-16_1_B05,HUVEC-16,1,B05,sirna_521
RPE-05_2_N19,RPE-05,2,N19,sirna_809
HUVEC-03_4_M16,HUVEC-03,4,M16,sirna_531
HUVEC-07_2_E16,HUVEC-07,2,E16,sirna_438
HEPG2-05_3_L16,HEPG2-05,3,L16,sirna_1102
HUVEC-14_1_N18,HUVEC-14,1,N18,sirna_76
RPE-01_4_M21,RPE-01,4,M21,sirna_696
HUVEC-07_1_O06,HUVEC-07,1,O06,sirna_1031
HEPG2-05_4_N10,HEPG2-05,4,N10,sirna_107
HUVEC-01_4_F06,HUVEC-01,4,F06,sirna_470
HEPG2-05_1_D21,HEPG2-05,1,D21,sirna_336
HUVEC-13_1_E20,HUVEC-13,1,E20,sirna_1088
HUVEC-13_2_L12,HUVEC-13,2,L12,sirna_294
RPE-04_1_B22,RPE-04,1,B22,sirna_174
HEPG2-06_4_K17,HEPG2-06,4,K17,sirna_386
U2OS-01_4_M14,U2OS-01,4,M14,sirna_34
RPE-04_2_M20,RPE-04,2,M20,sirna_1065
HUVEC-11_2_O19,HUVEC-11,2,O19,sirna_696
U2OS-01_4_I06,U2OS-01,4,I06,sirna_484
HUVEC-13_2_K08,HUVEC-13,2,K08,sirna_171
HEPG2-06_1_J10,HEPG2-06,1,J10,sirna_310
HEPG2-04_3_L03,HEPG2-04,3,L03,sirna_80
HEPG2-04_3_O22,HEPG2-04,3,O22,sirna_567
HEPG2-01_4_F04,HEPG2-01,4,F04,sirna_704
HUVEC-11_3_B18,HUVEC-11,3,B18,sirna_464
RPE-02_2_O23,RPE-02,2,O23,sirna_187
HUVEC-03_3_I03,HUVEC-03,3,I03,sirna_145
RPE-07_3_D14,RPE-07,3,D14,sirna_903
HEPG2-07_4_H17,HEPG2-07,4,H17,sirna_902
HUVEC-12_2_F12,HUVEC-12,2,F12,sirna_703
HEPG2-06_2_O09,HEPG2-06,2,O09,sirna_304
RPE-05_3_B14,RPE-05,3,B14,sirna_1009
HUVEC-04_1_E18,HUVEC-04,1,E18,sirna_814
RPE-02_2_L18,RPE-02,2,L18,sirna_192
HEPG2-01_4_L12,HEPG2-01,4,L12,sirna_889
HUVEC-13_2_I08,HUVEC-13,2,I08,sirna_856
HEPG2-01_1_B11,HEPG2-01,1,B11,sirna_153
HUVEC-03_1_N20,HUVEC-03,1,N20,sirna_684
RPE-05_3_N04,RPE-05,3,N04,sirna_1114
HUVEC-06_2_K21,HUVEC-06,2,K21,sirna_156
RPE-04_2_E08,RPE-04,2,E08,sirna_1105
HUVEC-01_3_F05,HUVEC-01,3,F05,sirna_108
RPE-01_4_J14,RPE-01,4,J14,sirna_489
HUVEC-08_1_C23,HUVEC-08,1,C23,sirna_1046
HUVEC-06_3_B04,HUVEC-06,3,B04,sirna_1050
HUVEC-02_3_O18,HUVEC-02,3,O18,sirna_745
RPE-06_3_I22,RPE-06,3,I22,sirna_850
HUVEC-16_3_L09,HUVEC-16,3,L09,sirna_0
HUVEC-16_4_I06,HUVEC-16,4,I06,sirna_127
U2OS-03_2_E10,U2OS-03,2,E10,sirna_643
RPE-05_4_J08,RPE-05,4,J08,sirna_53
HEPG2-02_3_C02,HEPG2-02,3,C02,sirna_534
HEPG2-07_3_E07,HEPG2-07,3,E07,sirna_514
HUVEC-02_1_I03,HUVEC-02,1,I03,sirna_996
HUVEC-14_3_E13,HUVEC-14,3,E13,sirna_93
HUVEC-16_2_K03,HUVEC-16,2,K03,sirna_106
HEPG2-05_2_D02,HEPG2-05,2,D02,sirna_1049
U2OS-03_3_K03,U2OS-03,3,K03,sirna_384
HEPG2-01_3_G03,HEPG2-01,3,G03,sirna_935
HUVEC-01_1_N11,HUVEC-01,1,N11,sirna_78
HUVEC-15_4_N17,HUVEC-15,4,N17,sirna_504
RPE-03_2_B15,RPE-03,2,B15,sirna_458
HEPG2-01_3_J09,HEPG2-01,3,J09,sirna_853
HEPG2-05_4_H09,HEPG2-05,4,H09,sirna_73
HUVEC-10_3_F17,HUVEC-10,3,F17,sirna_847
HEPG2-07_1_I13,HEPG2-07,1,I13,sirna_1081
HUVEC-11_3_C05,HUVEC-11,3,C05,sirna_1092
RPE-05_3_D09,RPE-05,3,D09,sirna_818
HUVEC-12_3_I07,HUVEC-12,3,I07,sirna_699
HUVEC-07_1_O13,HUVEC-07,1,O13,sirna_1022
RPE-02_2_J04,RPE-02,2,J04,sirna_977
HUVEC-04_4_L18,HUVEC-04,4,L18,sirna_316
HUVEC-15_4_M18,HUVEC-15,4,M18,sirna_93
RPE-03_3_L18,RPE-03,3,L18,sirna_29
RPE-05_2_O23,RPE-05,2,O23,sirna_758
RPE-02_2_C23,RPE-02,2,C23,sirna_823
HUVEC-01_2_M17,HUVEC-01,2,M17,sirna_479
HUVEC-16_1_N23,HUVEC-16,1,N23,sirna_684
U2OS-02_3_H09,U2OS-02,3,H09,sirna_105
U2OS-02_1_I08,U2OS-02,1,I08,sirna_1127
RPE-04_4_G09,RPE-04,4,G09,sirna_373
HUVEC-02_1_D17,HUVEC-02,1,D17,sirna_104
U2OS-02_4_N12,U2OS-02,4,N12,sirna_889
HEPG2-07_4_L05,HEPG2-07,4,L05,sirna_1122
RPE-06_3_J05,RPE-06,3,J05,sirna_800
U2OS-01_3_D19,U2OS-01,3,D19,sirna_449
HUVEC-15_2_O04,HUVEC-15,2,O04,sirna_567
HUVEC-15_1_H17,HUVEC-15,1,H17,sirna_148
RPE-05_3_N15,RPE-05,3,N15,sirna_401
HUVEC-05_3_M10,HUVEC-05,3,M10,sirna_927
HEPG2-06_1_B21,HEPG2-06,1,B21,sirna_953
HUVEC-02_2_G21,HUVEC-02,2,G21,sirna_30
HUVEC-13_2_D18,HUVEC-13,2,D18,sirna_463
HUVEC-16_3_E23,HUVEC-16,3,E23,sirna_1034
RPE-05_4_I19,RPE-05,4,I19,sirna_583
HEPG2-07_3_O17,HEPG2-07,3,O17,sirna_848
HUVEC-13_3_D03,HUVEC-13,3,D03,sirna_213
HUVEC-06_2_K04,HUVEC-06,2,K04,sirna_233
HUVEC-16_1_O18,HUVEC-16,1,O18,sirna_234
RPE-05_2_J06,RPE-05,2,J06,sirna_469
HUVEC-04_3_G09,HUVEC-04,3,G09,sirna_76
HUVEC-14_1_N08,HUVEC-14,1,N08,sirna_707
U2OS-01_4_L19,U2OS-01,4,L19,sirna_77
HEPG2-03_2_B09,HEPG2-03,2,B09,sirna_1064
HUVEC-09_2_L09,HUVEC-09,2,L09,sirna_795
U2OS-02_4_I21,U2OS-02,4,I21,sirna_909
HEPG2-04_1_J04,HEPG2-04,1,J04,sirna_1062
HUVEC-14_3_N19,HUVEC-14,3,N19,sirna_814
HUVEC-11_2_I19,HUVEC-11,2,I19,sirna_19
HUVEC-11_2_O12,HUVEC-11,2,O12,sirna_531
RPE-06_4_N08,RPE-06,4,N08,sirna_579
RPE-06_3_D22,RPE-06,3,D22,sirna_131
RPE-03_2_L10,RPE-03,2,L10,sirna_481
HUVEC-16_3_O19,HUVEC-16,3,O19,sirna_518
HUVEC-08_3_F02,HUVEC-08,3,F02,sirna_1134
HEPG2-06_3_D15,HEPG2-06,3,D15,sirna_597
U2OS-02_1_I02,U2OS-02,1,I02,sirna_462
RPE-07_3_G23,RPE-07,3,G23,sirna_524
HUVEC-05_2_I21,HUVEC-05,2,I21,sirna_977
HUVEC-12_1_G23,HUVEC-12,1,G23,sirna_448
U2OS-01_1_G17,U2OS-01,1,G17,sirna_307
HEPG2-05_4_J23,HEPG2-05,4,J23,sirna_628
RPE-04_2_N21,RPE-04,2,N21,sirna_246
RPE-07_2_L03,RPE-07,2,L03,sirna_884
RPE-04_1_E03,RPE-04,1,E03,sirna_448
HUVEC-08_2_K15,HUVEC-08,2,K15,sirna_192
RPE-05_4_M02,RPE-05,4,M02,sirna_257
HUVEC-10_4_O21,HUVEC-10,4,O21,sirna_870
HUVEC-04_1_I22,HUVEC-04,1,I22,sirna_78
HUVEC-01_1_F17,HUVEC-01,1,F17,sirna_727
HUVEC-07_3_K07,HUVEC-07,3,K07,sirna_18
U2OS-02_2_O23,U2OS-02,2,O23,sirna_528
RPE-07_2_F06,RPE-07,2,F06,sirna_528
HUVEC-16_2_B14,HUVEC-16,2,B14,sirna_1005
HUVEC-04_1_C18,HUVEC-04,1,C18,sirna_86
HUVEC-03_1_O07,HUVEC-03,1,O07,sirna_670
HEPG2-06_2_L14,HEPG2-06,2,L14,sirna_770
HUVEC-04_1_N04,HUVEC-04,1,N04,sirna_550
HUVEC-10_3_O15,HUVEC-10,3,O15,sirna_53
HUVEC-13_4_E08,HUVEC-13,4,E08,sirna_900
RPE-07_1_L08,RPE-07,1,L08,sirna_611
HEPG2-04_4_O20,HEPG2-04,4,O20,sirna_722
HEPG2-01_1_L06,HEPG2-01,1,L06,sirna_1127
HEPG2-05_1_H20,HEPG2-05,1,H20,sirna_540
HUVEC-07_2_N23,HUVEC-07,2,N23,sirna_925
HEPG2-05_2_L12,HEPG2-05,2,L12,sirna_1024
RPE-05_4_E10,RPE-05,4,E10,sirna_936
HUVEC-16_4_N19,HUVEC-16,4,N19,sirna_920
HUVEC-09_3_L06,HUVEC-09,3,L06,sirna_522
HUVEC-04_1_B10,HUVEC-04,1,B10,sirna_585
U2OS-01_4_J18,U2OS-01,4,J18,sirna_560
HUVEC-06_4_B09,HUVEC-06,4,B09,sirna_363
HUVEC-13_1_D13,HUVEC-13,1,D13,sirna_405
HUVEC-04_2_L23,HUVEC-04,2,L23,sirna_469
RPE-06_3_E19,RPE-06,3,E19,sirna_670
HUVEC-11_3_L12,HUVEC-11,3,L12,sirna_1047
U2OS-02_4_B18,U2OS-02,4,B18,sirna_151
RPE-01_4_O17,RPE-01,4,O17,sirna_379
HUVEC-02_4_K16,HUVEC-02,4,K16,sirna_421
HUVEC-01_4_M12,HUVEC-01,4,M12,sirna_1108
RPE-06_3_J23,RPE-06,3,J23,sirna_695
HEPG2-01_2_H18,HEPG2-01,2,H18,sirna_128
HUVEC-01_3_N03,HUVEC-01,3,N03,sirna_726
HEPG2-02_4_B12,HEPG2-02,4,B12,sirna_590
HEPG2-07_3_O19,HEPG2-07,3,O19,sirna_871
HUVEC-12_1_D15,HUVEC-12,1,D15,sirna_757
RPE-02_4_F18,RPE-02,4,F18,sirna_203
HUVEC-04_1_N16,HUVEC-04,1,N16,sirna_1137
HUVEC-10_3_M04,HUVEC-10,3,M04,sirna_211
HEPG2-02_1_N21,HEPG2-02,1,N21,sirna_250
HUVEC-03_1_D11,HUVEC-03,1,D11,sirna_983
RPE-02_2_N11,RPE-02,2,N11,sirna_9
HUVEC-08_2_O16,HUVEC-08,2,O16,sirna_1101
RPE-05_3_F12,RPE-05,3,F12,sirna_84
HUVEC-13_3_K02,HUVEC-13,3,K02,sirna_502
HEPG2-02_2_C17,HEPG2-02,2,C17,sirna_357
HUVEC-14_1_K07,HUVEC-14,1,K07,sirna_639
HUVEC-16_3_D14,HUVEC-16,3,D14,sirna_401
HUVEC-10_4_E07,HUVEC-10,4,E07,sirna_1135
HUVEC-02_4_F04,HUVEC-02,4,F04,sirna_1023
HUVEC-11_4_C21,HUVEC-11,4,C21,sirna_79
HUVEC-11_1_D08,HUVEC-11,1,D08,sirna_790
HUVEC-05_4_B18,HUVEC-05,4,B18,sirna_719
HUVEC-01_3_C17,HUVEC-01,3,C17,sirna_654
U2OS-02_4_K05,U2OS-02,4,K05,sirna_94
HUVEC-11_3_D17,HUVEC-11,3,D17,sirna_959
HUVEC-09_1_G15,HUVEC-09,1,G15,sirna_1028
HEPG2-01_4_M06,HEPG2-01,4,M06,sirna_1000
HUVEC-05_3_B20,HUVEC-05,3,B20,sirna_452
HUVEC-07_4_C16,HUVEC-07,4,C16,sirna_457
RPE-04_1_G16,RPE-04,1,G16,sirna_153
HUVEC-05_1_C10,HUVEC-05,1,C10,sirna_263
U2OS-01_3_O22,U2OS-01,3,O22,sirna_416
HEPG2-07_4_E11,HEPG2-07,4,E11,sirna_368
RPE-05_2_H16,RPE-05,2,H16,sirna_783
HEPG2-06_1_O14,HEPG2-06,1,O14,sirna_861
U2OS-03_3_I05,U2OS-03,3,I05,sirna_588
HEPG2-03_4_C02,HEPG2-03,4,C02,sirna_368
RPE-01_1_E03,RPE-01,1,E03,sirna_45
HUVEC-03_3_E16,HUVEC-03,3,E16,sirna_206
RPE-01_4_I10,RPE-01,4,I10,sirna_271
U2OS-03_1_I11,U2OS-03,1,I11,sirna_475
HUVEC-04_1_I20,HUVEC-04,1,I20,sirna_434
HUVEC-14_4_E09,HUVEC-14,4,E09,sirna_359
HUVEC-07_2_C21,HUVEC-07,2,C21,sirna_352
HUVEC-14_1_D19,HUVEC-14,1,D19,sirna_182
RPE-03_1_E02,RPE-03,1,E02,sirna_758
RPE-02_4_K11,RPE-02,4,K11,sirna_329
HUVEC-02_3_F14,HUVEC-02,3,F14,sirna_639
HUVEC-15_1_N07,HUVEC-15,1,N07,sirna_752
HEPG2-06_1_F10,HEPG2-06,1,F10,sirna_86
HUVEC-11_4_I09,HUVEC-11,4,I09,sirna_746
HUVEC-12_3_L15,HUVEC-12,3,L15,sirna_790
HUVEC-04_4_H16,HUVEC-04,4,H16,sirna_172
HUVEC-07_1_L10,HUVEC-07,1,L10,sirna_481
HUVEC-16_3_B19,HUVEC-16,3,B19,sirna_898
RPE-02_4_D04,RPE-02,4,D04,sirna_591
HUVEC-13_4_D06,HUVEC-13,4,D06,sirna_491
HEPG2-04_1_G02,HEPG2-04,1,G02,sirna_906
HUVEC-11_2_L05,HUVEC-11,2,L05,sirna_438
RPE-06_1_E06,RPE-06,1,E06,sirna_781
HEPG2-04_3_N10,HEPG2-04,3,N10,sirna_877
HEPG2-06_2_N07,HEPG2-06,2,N07,sirna_30
HUVEC-08_3_M17,HUVEC-08,3,M17,sirna_261
HUVEC-12_3_F06,HUVEC-12,3,F06,sirna_565
